country ,cost,Percent ,population
Mozambique,3.031,0.3,0
Myanmar,3.706,1.7,0.2
Namibia,3.255,2.9,1.7
Nepal,4.127,64.7,1.9
Netherlands,2.743,2.5,3.2
New Zealand,2.671,15.8,1.6
Nicaragua,3.191,1.5,0.3
Niger,2.85,83.5,41.9
Nigeria,3.565,1.7,0.9
North America,3.386,..,..
North Macedonia,3.318,56.6,3.5
Norway,3.325,80.6,5.6
Oman,2.815,22.4,126.8
Pakistan,3.408,3.4,0.1
Panama,4.225,80.2,1.7
Paraguay,3.43,97.1,4.6
Peru,3.084,3.6,0.1
Philippines,3.843,90.2,425.6
Poland,2.909,71.5,2205
Portugal,2.513,0.4,0
Qatar,2.375,97.1,24.8
Romania,2.921,95.5,16.9
Russian Federation,3.149,2.6,0.8
Rwanda,2.609,4.2,0
Sao Tome and Principe,3.288,80.1,14.8
Saudi Arabia,3.441,0.3,0
Senegal,2.19,62.9,2.7
Serbia,4.07,14.8,0.2
Seychelles,4.01,26.1,32.6
Sierra Leone,2.842,38.7,130.4
Singapore,2.775,5.9,0.2
Sint Maarten (Dutch part),4.462,55.3,1.7
Slovak Republic,3.013,17.4,0.1
Slovenia,2.798,..,..
South Africa,4.102,18.9,6.7
South Asia,3.558,91.3,26.2
Spain,2.699,68.1,36.3
Sri Lanka,3.702,54.4,1.3
St. Kitts and Nevis,2.998,86.8,24
St. Lucia,3.263,0.4,0.1
St. Vincent and the Grenadines,4.131,..,..
Sub-Saharan Africa,3.249,32.2,2.1
Sudan,3.674,91.1,19.7
Suriname,4.969,94.1,179.7
Sweden,3.086,1.9,6.8
Switzerland,2.523,21.8,0.5
"Taiwan, China",3.99,0.5,0
Tajikistan,3.027,..,..
Tanzania,2.598,79.7,165.7
Thailand,3.971,21.1,0.9
Togo,..,20.1,1.4
Trinidad and Tobago,3.928,23.7,7.5
Tunisia,3.476,71,74.6
Türkiye,2.873,1,0.4
Turks and Caicos Islands,2.809,1.1,0.1
Uganda,2.749,..,..
United Arab Emirates,2.755,11.9,2.3
United Kingdom,1.822,4,5.7
United States,3.225,89,10.7
Upper middle income,3.524,84.4,0.2
Uruguay,3.073,..,..
Vietnam,3.586,53,8.2
West Bank and Gaza,3.342,29,2
World,3.314,8.8,0
Zambia,3.085,91.1,6.8
Zimbabwe,3.456,..,..
,,..,..
,,2,0.1
,,0.1,0
,,65.2,37.2
,,75.6,1327.5
,,1.9,0.9
,,52.3,11.2
,,..,..
,,20.2,0
,,..,..
,,86.2,872.2
,,86.3,35.2
,,57.6,0.3
,,0.5,0.1
,,0,0
,,0.2,0.1
,,42.9,3.8
,,88.7,48.5
,,17.5,12.1
,,..,..
,,10.7,0.1
,,21.8,2.5
,,6.9,5.6
,,..,..
,,84.8,34.9
,,0,0
,,0.5,0.3
,,2,6.5
,,16.5,401.2
,,2.7,0.1
,,32.4,30.7
,,25.4,1.1
,,42.9,3049.1
,,87.6,14.8
,,84.1,12
